p_jj,id,title,author1,author_gender,category,frmt1,frmt2
62140,SvB_BS_293,Löparna,"Tokarczuk, Olga",F,PRESTIGE,hb,sell
61069,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",M,OTHER,hb,sell
60257,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",M,OTHER,hb,sell
60227,SvB_BS_208,1968,"Guillou, Jan",M,OTHER,hb,sell
56605,SvB_BS_166,Blå stjärnan,"Guillou, Jan",M,OTHER,hb,sell
54799,SvB_BS_272,Vardagar,"Lundell, Ulf",M,OTHER,hb,sell
53949,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",M,OTHER,hb,sell
53229,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",F,OTHER,both,sell
53062,SvB_BS_187,Stoner,"Williams, John",M,OTHER,pb,sell
51592,SvB_BS_250,Begynnelse,"Brown, Dan",M,CRIME,both,sell
51564,SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",F,CRIME,both,both
50906,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
50103,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",F,PRESTIGE,hb,sell
50067,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",F,OTHER,both,sell
49641,SvB_BS_192,Tre minuter,"Roslund, Anders",M,CRIME,hb,sell
49361,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",M,OTHER,hb,sell
49338,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",F,OTHER,hb,sell
49158,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",M,CRIME,hb,both
48665,SvB_BS_203,De oroliga,"Ullmann, Linn",F,PRESTIGE,hb,sell
48557,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",F,OTHER,hb,sell
48507,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",F,CRIME,both,both
48505,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",M,OTHER,pb,sell
48437,bstream_011,Kärlek sökes,"Hjulström, Carin",F,OTHER,no,strm
48243,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",M,OTHER,both,both
48142,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",F,OTHER,pb,sell
47870,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",F,OTHER,pb,sell
47716,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",M,OTHER,pb,sell
47656,SvB_BS_299,Jamåhonleva,"Roslund, Anders",M,CRIME,hb,sell
47561,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
47231,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
47169,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",M,CRIME,both,both
47124,SvB_BS_308,På egen hand,"Keyes, Marian",M,OTHER,pb,sell
46814,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",F,OTHER,pb,sell
46510,SvB_BS_288,1794,"Natt och Dag, Niklas",M,CRIME,hb,sell
46492,bstream_046,Snödrev,"Tursten, Helene",F,CRIME,no,strm
46235,SvB_BS_271,Tre timmar,"Roslund, Anders",M,CRIME,both,sell
46201,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",F,OTHER,pb,sell
46197,SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
46032,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",M,OTHER,pb,sell
46001,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",F,PRESTIGE,pb,sell
45880,bstream_003,Hämnaren,"Buthler, Dan",M,CRIME,no,strm
45802,bstream_014,På sex meters djup,"Rudberg, Denise",F,CRIME,no,strm
45770,bstream_025,Uppståndelsen,"Buthler, Dan",M,CRIME,no,strm
45570,bstream_019,När livet börjar om,"Dillon, Lucy",F,OTHER,no,strm
45562,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",M,OTHER,hb,sell
45517,SvB_BS_278,Husdjuret,"Grebe, Camilla",F,CRIME,pb,sell
45509,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",F,CRIME,pb,sell
45159,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",F,CRIME,both,both
45152,SvB_BS_273,1793,"Natt och Dag, Niklas",M,CRIME,pb,sell
44997,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",F,CRIME,no,strm
44945,bstream_026,De sju som såg,"Rudberg, Denise",F,CRIME,no,strm
44813,SvB_BS_156,Gone Girl,"Flynn, Gillian",F,CRIME,pb,sell
44749,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",F,PRESTIGE,hb,sell
