p_vb,id,title,author1,author_gender,category,frmt1,frmt2
205958,SvB_BS_300,Jag for ner till bror,"Smirniff, Karin",F,PRESTIGE,pb,sell
205374,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",F,CRIME,pb,both
205202,bstream_031,Bakom stängda dörrar,"Paris, B.A.",F,CRIME,no,strm
204911,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",F,PRESTIGE,pb,sell
201417,bstream_010,Rädslans fångar,"Jansson, Anna",F,CRIME,no,strm
201379,SvB_BS_292,Broder Jakob,"Schepp, Emelie",F,CRIME,hb,both
201346,bstream_001,Alla kan se dig,"Jansson, Anna",F,CRIME,no,strm
200890,SvB_BS_285,Pappas pojke,"Schepp, Emelie",F,CRIME,pb,both
200691,bstream_023,Det du inte vet,"Jansson, Anna",F,CRIME,no,strm
199466,bstream_043,Dotter saknad,"Jansson, Anna",F,CRIME,no,strm
198720,SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",F,CRIME,both,both
198572,SvB_BS_267,I fel sällskap,"Sten, Viveca",F,CRIME,hb,sell
198542,SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",F,CRIME,pb,both
198217,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",F,CRIME,pb,sell
197847,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",F,CRIME,hb,both
197447,bstream_042,Mitt hjärta är ditt,"Jansson, Anna",F,CRIME,no,strm
197175,SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",F,CRIME,both,both
197107,SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",F,CRIME,hb,both
197058,SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",F,CRIME,pb,sell
197054,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",F,CRIME,hb,both
196814,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",F,CRIME,both,both
196791,bstream_037,Hämndens pris,"Lewin, Erik",M,CRIME,no,strm
196446,bstream_030,Kvinnan på bänken,"Jansson, Anna",F,CRIME,no,strm
195980,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",F,OTHER,pb,sell
195925,bstream_015,Prio ett,"Schepp, Emelie",F,CRIME,no,strm
195128,SvB_BS_251,Häxan,"Läckberg, Camilla",F,CRIME,both,both
195012,SvB_BS_268,Syndabocken,"Sarenbrant, Sofie",F,CRIME,both,both
194904,SvB_BS_275,Silvervägen,"Jackson, Stina",F,CRIME,pb,both
194795,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",M,PRESTIGE,both,sell
194647,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",F,CRIME,pb,sell
194411,bstream_009,I sanningens namn,"Sten, Viveca",F,CRIME,no,strm
194163,SvB_BS_189,I maktens skugga,"Sten, Viveca",F,CRIME,pb,sell
194113,SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",F,CRIME,pb,sell
194051,SvB_BS_246,Toner i natten,"Moyes, Jojo",F,OTHER,both,both
193670,bstream_017,Mordbrännaren,"Kant, Johan",M,CRIME,no,strm
193534,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",F,PRESTIGE,hb,sell
193199,bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",2,CRIME,no,strm
192759,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",M,PRESTIGE,pb,sell
192605,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",F,OTHER,hb,sell
192197,bstream_026,De sju som såg,"Rudberg, Denise",F,CRIME,no,strm
191912,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",F,OTHER,hb,sell
191616,bstream_004,Vita spår,"Schepp, Emelie",F,CRIME,no,strm
191478,bstream_014,På sex meters djup,"Rudberg, Denise",F,CRIME,no,strm
191049,SvB_BS_280,Strandcaféet,"Diamond, Lucy",F,OTHER,pb,sell
190652,bstream_050,Morden på Mörkö,"Karlsson, Samuel",M,CRIME,no,strm
190579,bstream_020,Välkommen hem,"Schulman, Ninni",F,CRIME,no,strm
190422,bstream_040,Ondskans ansikte,"Ahlstedt, Mats",M,CRIME,no,strm
190329,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",F,CRIME,hb,sell
190182,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",M,OTHER,pb,sell
189719,bstream_051,Allt jag fått lära mig,"Westover, Tara",F,OTHER,no,strm
189440,SvB_BS_261,Lazarus,"Kepler, Lars",2,CRIME,hb,both
188350,bstream_033,5:e Moseboken,"Larsson, Christina",F,CRIME,no,strm
188333,SvB_BS_155,Stalker,"Kepler, Lars",2,CRIME,both,both
188245,bstream_045,Under nio nätter,"Rudberg, Denise",F,CRIME,no,strm
188022,bstream_049,Trojanen,"Ahlstedt, Mats",M,CRIME,no,strm
187932,bstream_039,Skuggorna ruva,"Moström, Jonas",M,CRIME,no,strm
187905,SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",F,OTHER,pb,sell
187870,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",M,CRIME,pb,sell
187797,SvB_BS_287,En bur av guld,"Läckberg, Camilla",F,CRIME,hb,both
187668,SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",M,OTHER,both,sell
187555,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",F,CRIME,both,both
187547,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
187544,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",F,OTHER,pb,sell
187492,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",F,PRESTIGE,hb,sell
187116,bstream_021,Sov du lilla videung,"Börjlind, Rolf",2,CRIME,no,strm
186984,SvB_BS_216,Björnstad,"Backman, Fredrik",M,OTHER,pb,sell
186536,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",M,CRIME,pb,sell
186492,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",F,OTHER,both,both
186147,SvB_BS_180,Etthundra mil,"Moyes, Jojo",F,OTHER,pb,sell
186114,SvB_BS_174,Playground,"Kepler, Lars",2,CRIME,hb,sell
186006,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",M,CRIME,hb,both
185826,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",F,CRIME,pb,sell
185653,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",F,PRESTIGE,pb,sell
185509,SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",F,OTHER,pb,sell
184911,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",F,CRIME,pb,both
184782,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",F,CRIME,no,strm
184744,SvB_BS_193,Kaninjägaren,"Kepler, Lars",2,CRIME,both,both
184352,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",M,CRIME,pb,sell
184296,bstream_034,Nådastöten,"Larsson, Christina",F,CRIME,no,strm
184225,SvB_BS_165,De underkända,"Hjorth, Michael",M,CRIME,hb,both
184217,SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",F,CRIME,both,both
184162,SvB_BS_296,Folk med ångest,"Backman, Fredrik",M,OTHER,hb,sell
184073,bstream_011,Kärlek sökes,"Hjulström, Carin",F,OTHER,no,strm
184018,SvB_BS_156,Gone Girl,"Flynn, Gillian",F,CRIME,pb,sell
183934,SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",F,OTHER,pb,sell
183823,bstream_019,När livet börjar om,"Dillon, Lucy",F,OTHER,no,strm
183733,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",F,OTHER,pb,sell
183712,bstream_036,Domaren,"Öhrlund, Dag",M,CRIME,no,strm
183202,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
182984,SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",M,CRIME,pb,both
182845,bstream_038,Änglabarnet,"Kant, Johan",M,CRIME,no,strm
182801,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",F,CRIME,no,strm
182759,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",F,OTHER,both,sell
182546,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",F,CRIME,both,both
182145,SvB_BS_202,Glöm mig,"Schulman, Alex",M,OTHER,both,sell
181910,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
181856,bstream_013,Motvind,"Buthler, Dan",M,CRIME,no,strm
181747,bstream_005,Dominodöden,"Moström, Jonas",M,CRIME,no,strm
181646,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",F,CRIME,no,strm
181643,SvB_BS_278,Husdjuret,"Grebe, Camilla",F,CRIME,pb,sell
181639,SvB_BS_265,En andra chans,"Moyes, Jojo",F,OTHER,both,both
