r_amod,id,title,author1,author_gender,category,frmt1,frmt2
53550,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",M,OTHER,hb,sell
53305,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",M,OTHER,hb,sell
51645,SvB_BS_208,1968,"Guillou, Jan",M,OTHER,hb,sell
51467,SvB_BS_293,Löparna,"Tokarczuk, Olga",F,PRESTIGE,hb,sell
47174,SvB_BS_250,Begynnelse,"Brown, Dan",M,CRIME,both,sell
45266,SvB_BS_166,Blå stjärnan,"Guillou, Jan",M,OTHER,hb,sell
40937,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",M,OTHER,pb,sell
40024,SvB_BS_192,Tre minuter,"Roslund, Anders",M,CRIME,hb,sell
39653,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",M,CRIME,hb,both
38587,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
38121,SvB_BS_193,Kaninjägaren,"Kepler, Lars",2,CRIME,both,both
38014,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",M,OTHER,hb,sell
37649,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",M,OTHER,hb,sell
37514,SvB_BS_299,Jamåhonleva,"Roslund, Anders",M,CRIME,hb,sell
36924,SvB_BS_187,Stoner,"Williams, John",M,OTHER,pb,sell
36527,SvB_BS_261,Lazarus,"Kepler, Lars",2,CRIME,hb,both
36475,bstream_046,Snödrev,"Tursten, Helene",F,CRIME,no,strm
36090,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",M,OTHER,both,both
35982,SvB_BS_174,Playground,"Kepler, Lars",2,CRIME,hb,sell
35654,SvB_BS_155,Stalker,"Kepler, Lars",2,CRIME,both,both
35614,SvB_BS_272,Vardagar,"Lundell, Ulf",M,OTHER,hb,sell
35535,bstream_038,Änglabarnet,"Kant, Johan",M,CRIME,no,strm
35227,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",F,CRIME,both,both
34972,bstream_025,Uppståndelsen,"Buthler, Dan",M,CRIME,no,strm
34926,SvB_BS_271,Tre timmar,"Roslund, Anders",M,CRIME,both,sell
34857,SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",F,CRIME,both,both
34439,bstream_003,Hämnaren,"Buthler, Dan",M,CRIME,no,strm
34359,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",F,CRIME,no,strm
34149,SvB_BS_177,Björndansen,"Roslund, Anders",M,CRIME,hb,sell
33991,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",M,CRIME,both,both
33348,bstream_013,Motvind,"Buthler, Dan",M,CRIME,no,strm
33338,bstream_014,På sex meters djup,"Rudberg, Denise",F,CRIME,no,strm
32879,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",F,OTHER,both,sell
32845,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",F,CRIME,pb,sell
32757,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",F,CRIME,no,strm
32608,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",M,OTHER,pb,sell
