p_ab,id,title,author1,author2,author_gender,category,frmt1,frmt2
108308,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",,F,OTHER,pb,sell
106569,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",,F,PRESTIGE,hb,sell
103270,SvB_BS_272,Vardagar,"Lundell, Ulf",,M,OTHER,hb,sell
103060,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",,M,OTHER,hb,sell
103005,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",,F,OTHER,both,both
102396,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",,M,PRESTIGE,hb,sell
100532,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",,F,OTHER,both,sell
99897,bstream_026,De sju som såg,"Rudberg, Denise",,F,CRIME,no,strm
98302,SvB_BS_296,Folk med ångest,"Backman, Fredrik",,M,OTHER,hb,sell
98130,SvB_BS_306,Motiv X,"Ahnhem, Stefan",,M,CRIME,pb,sell
97262,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",,M,CRIME,hb,both
97043,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",,M,CRIME,both,both
96670,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",,M,CRIME,no,strm
96130,SvB_BS_166,Blå stjärnan,"Guillou, Jan",,M,OTHER,hb,sell
95456,SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",,F,OTHER,pb,sell
94917,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",,M,OTHER,hb,sell
94815,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",,M,CRIME,pb,sell
94455,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",,F,CRIME,pb,both
94404,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",,M,OTHER,hb,sell
94333,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",Joakim Ersgård,M,OTHER,no,strm
93137,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",,M,OTHER,hb,sell
92821,bstream_011,Kärlek sökes,"Hjulström, Carin",,F,OTHER,no,strm
92104,SvB_BS_208,1968,"Guillou, Jan",,M,OTHER,hb,sell
91941,bstream_014,På sex meters djup,"Rudberg, Denise",,F,CRIME,no,strm
90839,bstream_045,Under nio nätter,"Rudberg, Denise",,F,CRIME,no,strm
90254,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",,M,PRESTIGE,hb,sell
90208,bstream_047,Offer 2117,"Adler-Olsen, Jussi",,M,CRIME,no,strm
90062,SvB_BS_286,Hon som måste dö,"Lagercrantz, David",,M,CRIME,hb,both
89869,SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",,F,CRIME,pb,sell
89377,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",,M,CRIME,both,both
89272,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",,F,OTHER,pb,sell
89231,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",,F,OTHER,pb,sell
89181,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",,F,OTHER,pb,sell
89152,bstream_020,Välkommen hem,"Schulman, Ninni",,F,CRIME,no,strm
88689,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",,M,OTHER,both,both
87991,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",,M,CRIME,both,sell
87583,SvB_BS_299,Jamåhonleva,"Roslund, Anders",,M,CRIME,hb,sell
87547,SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",,F,CRIME,both,both
87343,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",,M,CRIME,hb,both
87324,SvB_BS_308,På egen hand,"Keyes, Marian",,M,OTHER,pb,sell
87300,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",,F,CRIME,pb,sell
87079,SvB_BS_271,Tre timmar,"Roslund, Anders",,M,CRIME,both,sell
86940,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",,F,CRIME,no,strm
86689,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",,M,CRIME,no,strm
86596,SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",,F,CRIME,pb,sell
86561,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",,M,CRIME,pb,sell
86559,SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",,M,OTHER,both,sell
86552,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",,M,CRIME,hb,both
86216,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",Hans Rosenfeldt,M,CRIME,pb,sell
86001,bstream_019,När livet börjar om,"Dillon, Lucy",,F,OTHER,no,strm
85807,SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",,F,CRIME,both,both
85762,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",,F,CRIME,pb,sell
85615,SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",,F,CRIME,pb,both
84929,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",,M,OTHER,hb,sell
84658,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",,F,CRIME,pb,both
84655,SvB_BS_177,Björndansen,"Roslund, Anders",Stefan Thunberg,M,CRIME,hb,sell
84593,SvB_BS_158,VIP-rummet,"Lapidus, Jens",,M,CRIME,hb,sell
84566,SvB_BS_192,Tre minuter,"Roslund, Anders",Börge Hellström,M,CRIME,hb,sell
84519,SvB_BS_280,Strandcaféet,"Diamond, Lucy",,F,OTHER,pb,sell
84197,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",,F,CRIME,hb,both
84056,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",,F,OTHER,pb,sell
83934,SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",,M,CRIME,pb,sell
83918,SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",,F,OTHER,pb,sell
83766,bstream_007,Skymningsflickan,"Wennstam, Katarina",,F,CRIME,no,strm
83348,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",,F,CRIME,pb,sell
83196,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",,F,CRIME,hb,sell
82903,bstream_035,Se till mig som liten är,"Öhrlund, Dag",,M,CRIME,no,strm
82554,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",,F,OTHER,pb,sell
82506,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",,F,CRIME,both,both
82414,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",,M,CRIME,no,strm
82318,SvB_BS_202,Glöm mig,"Schulman, Alex",,M,OTHER,both,sell
82103,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",Hans Rosenfeldt,M,CRIME,hb,both
82071,bstream_013,Motvind,"Buthler, Dan",Dag Öhrlund,M,CRIME,no,strm
81989,SvB_BS_216,Björnstad,"Backman, Fredrik",,M,OTHER,pb,sell
81889,bstream_012,Där inga ögon ser,"Öhrlund, Dag",,M,CRIME,no,strm
81871,SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",,F,CRIME,both,both
81764,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",,F,CRIME,pb,sell
81679,SvB_BS_284,Höstdåd,"Motte, Anders de la",,M,CRIME,pb,sell
81563,SvB_BS_165,De underkända,"Hjorth, Michael",Hans Rosenfeldt,M,CRIME,hb,both
81301,SvB_BS_254,Top Dogg,"Lapidus, Jens",,M,CRIME,hb,both
81225,bstream_036,Domaren,"Öhrlund, Dag",,M,CRIME,no,strm
80846,SvB_BS_278,Husdjuret,"Grebe, Camilla",,F,CRIME,pb,sell
80795,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",,F,PRESTIGE,hb,sell
80628,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",,F,CRIME,both,both
80350,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",,F,CRIME,pb,sell
79917,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",,F,CRIME,both,both
79795,SvB_BS_156,Gone Girl,"Flynn, Gillian",,F,CRIME,pb,sell
79733,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",,F,OTHER,hb,sell
79210,SvB_BS_172,STHLM Delete,"Lapidus, Jens",,M,CRIME,both,both
78838,SvB_BS_268,Syndabocken,"Sarenbrant, Sofie",,F,CRIME,both,both
78828,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",,F,OTHER,hb,sell
78803,bstream_031,Bakom stängda dörrar,"Paris, B.A.",,F,CRIME,no,strm
78780,bstream_003,Hämnaren,"Buthler, Dan",Dag Öhrlund,M,CRIME,no,strm
78699,bstream_033,5:e Moseboken,"Larsson, Christina",,F,CRIME,no,strm
