id,title,author1,author2,author_gender,category,frmt1,frmt2,p_vb,p_nn,p_pn,p_pp,p_ab,p_ma,p_mi,p_kn,p_jj,p_dt,p_pm,p_pl,p_sn,p_pa,p_hp,p_ps,p_ie,p_ha,p_pc,p_rg,p_in,p_ro,p_uo,p_hd,p_hs,r_punct,r_nsubj,r_advmod,r_case,r_root,r_obl,r_obj,r_mark,r_conj,r_cc,r_det,r_amod,r_aux,r_advcl,r_compound:prt,r_nmod,r_cop,r_nmod:poss,r_parataxis,r_xcomp,r_fixed,r_acl:relcl,r_ccomp,r_expl,r_nsubj:pass,r_acl,r_nummod,r_flat:name,r_dislocated,r_appos,r_csubj,r_iobj,r_discourse,r_obl:agent,r_orphan,r_aux:pass,r_compound,r_csubj:pass,r_list
SvB_BS_155,Stalker,"Kepler, Lars",,2,CRIME,both,both,188333,157954,102847,95504,57322,64825,75027,48899,42722,36636,38053,22999,15674,258,7589,10729,6773,8914,11809,3429,2448,736,380,104,37,139477,115840,62647,88688,68162,67107,56426,30360,54954,44863,36667,35654,19944,21974,23183,22379,15637,16208,15257,11760,7595,7128,10539,5306,5141,2761,2834,3460,2251,1460,1356,1797,558,239,135,141,55,55,0
SvB_BS_156,Gone Girl,"Flynn, Gillian",,F,CRIME,pb,sell,184018,119796,134488,76521,79795,62720,62039,43481,44813,37892,23125,16510,20606,23576,12043,15403,11778,10801,9990,4452,3430,976,1357,325,65,147763,113922,84137,65294,59139,51703,55644,47296,38648,35258,37967,32324,32684,26370,17041,15929,20216,18633,17531,13515,12925,12729,10085,6655,3375,4106,3430,2754,2629,3951,1738,2559,1292,150,205,155,95,80,70
SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",,F,CRIME,hb,both,197054,116043,120221,79020,84197,71424,53481,47189,37675,32548,36581,18406,19753,23330,12968,10970,11614,10688,8008,1796,5047,999,514,442,29,147903,118802,90736,67789,66037,53547,55002,43409,37160,40868,32939,23765,35806,25539,18783,13903,18167,15735,16379,12918,12693,11281,11064,7364,4938,4004,1390,1354,2563,1463,2484,1651,1760,253,232,138,72,109,0
SvB_BS_158,VIP-rummet,"Lapidus, Jens",,M,CRIME,hb,sell,180924,131324,116811,81706,84593,84468,54234,37786,38446,35242,37270,18358,14825,22974,12977,11403,6650,8628,7596,6980,3807,921,1698,317,62,160563,119156,85109,72113,83193,54651,52835,32349,30993,30819,35341,26731,30414,20523,18825,18856,19092,16896,12865,11272,15416,10476,9058,6041,4268,3540,5897,3266,2999,2103,1456,1325,896,156,149,143,149,62,6
SvB_BS_161,Sonen,"Nesbø, Jo",,M,CRIME,both,sell,178121,139413,107590,82312,67845,83303,63105,40977,39719,36706,30676,18536,21548,32195,13209,7876,7263,8169,9271,4922,4707,919,1278,319,20,177378,112525,71516,73152,78466,53612,53306,39112,35246,34353,37039,27800,25225,21046,19233,19090,17388,11951,16580,9832,11625,12518,10197,6709,4088,3677,3573,3266,2973,2171,1695,1975,893,183,254,150,150,52,0
SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",,F,OTHER,both,sell,177330,128974,101592,75888,100532,82836,54094,49775,50067,37635,31162,19179,13896,18248,9446,13330,8399,8113,7989,3643,5914,1112,507,260,78,154548,102275,102919,67489,82966,52195,50354,32385,44661,42586,37733,32879,28104,20115,19497,15334,16908,18242,12569,14130,10429,8574,6649,5718,3520,3682,2967,1041,2231,1802,1594,2140,1067,176,202,130,98,91,0
SvB_BS_165,De underkända,"Hjorth, Michael",Hans Rosenfeldt,M,CRIME,hb,both,184225,119340,118635,82414,81563,83042,52968,38513,40437,36336,35784,20601,16700,24081,12516,9987,11021,10661,10446,4989,3641,1081,552,391,77,159133,112411,84905,71576,80513,52584,55619,40253,35187,32297,36382,27607,27660,23545,20969,17919,16999,12715,14723,12899,11404,10646,9596,7289,4054,4238,3656,2866,3081,1878,2092,1732,812,261,222,153,61,61,0
SvB_BS_166,Blå stjärnan,"Guillou, Jan",,M,OTHER,hb,sell,160738,145489,94073,93048,96130,59963,58054,45308,56605,42699,32816,15701,15800,17150,10830,9388,11672,8717,12916,5613,3881,1301,1746,325,35,134355,93430,98795,82076,58528,57100,48369,42063,37913,34951,43081,45266,27125,24701,15843,26221,17589,15220,13934,12463,15751,10328,6157,5832,5550,5832,4793,4220,2948,3202,2121,1654,1520,262,325,191,219,57,14
SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",,M,CRIME,both,both,165326,119284,109937,79487,97043,61599,65828,60407,47169,40432,37140,15622,17502,21761,13428,12449,8796,7040,10047,3304,4258,652,1097,344,47,147824,105637,99907,67756,62347,51101,48664,38646,44180,51677,40550,31755,23961,22461,15848,17882,18896,16773,10012,12704,16322,10338,8434,7254,4727,4508,2556,6933,2699,2272,1673,1785,1020,308,172,184,160,71,6
SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",,M,CRIME,hb,both,170230,130704,101550,90696,87343,64124,58297,39196,49158,44096,47696,12196,19185,1342,22424,16344,9770,9758,9782,8301,4936,1529,1096,205,42,123293,107612,88811,77247,64648,53697,49917,44812,34584,30027,43716,39653,30118,24362,12744,24025,15742,20967,16151,9325,18662,18114,7862,6333,3443,5605,7176,9469,3461,2306,2191,2047,1150,241,144,175,90,78,0
